File Size GB,File Type,Root
sum,count,
0.0553,1,D:\projects\ardom-1
0.0004,2,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.3032,2,D:\projects\ardom-1
0.0,11,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.1292,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,6,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,11,D:\projects\ardom-1
0.0,6,D:\projects\ardom-1
0.0,7,D:\projects\ardom-1
0.0,16,D:\projects\ardom-1
0.12420000000000007,55,D:\projects\ardom-1
0.010699999999999994,87,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,30,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0005,57,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,6,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0004,4,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.008300000000000004,83,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0009,3,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0002,48,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,12,D:\projects\ardom-1
0.027399999999999935,3005,D:\projects\ardom-1
0.017799999999999965,2737,D:\projects\ardom-1
0.0455,110,D:\projects\ardom-1
0.005,34,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,6,D:\projects\ardom-1
0.0002,63,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0025,1,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.0316,10,D:\projects\ardom-1
0.002500000000000001,20,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,15,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,9,D:\projects\ardom-1
0.0001,1,D:\projects\ardom-1
0.0002,32,D:\projects\ardom-1
0.0,13,D:\projects\ardom-1
0.0,13,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0005,5,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0003,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,6,D:\projects\ardom-1
0.01389999999999998,2370,D:\projects\ardom-1
0.009300000000000001,2373,D:\projects\ardom-1
0.019999999999999983,111,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0001,41,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0001,1,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.06950000000000002,27,D:\projects\ardom-1
0.003799999999999999,30,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,15,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0002,28,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0002,2,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.003999999999999998,41,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0003,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0001,24,D:\projects\ardom-1
0.0013,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,6,D:\projects\ardom-1
0.011899999999999987,1239,D:\projects\ardom-1
0.008699999999999996,1238,D:\projects\ardom-1
0.023299999999999998,42,D:\projects\ardom-1
0.0025,17,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0001,28,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
