Sub-Root,Size GB,Count,Root
,0.4881,23,D:\projects\ardom-1
0-docker-toolbox,0.0,1,D:\projects\ardom-1
1-poc-wxpython-image,0.0,10,D:\projects\ardom-1
2-measure-docker-resource-consumption,0.0,1,D:\projects\ardom-1
3-ssh-from-docker-to-host,0.0,9,D:\projects\ardom-1
4-firefox-executor,0.0,3,D:\projects\ardom-1
5-python-virtual-env,0.2410999999999979,6431,D:\projects\ardom-1
file_crawler_project,0.08110000000000062,5086,D:\projects\ardom-1
simple_gui_ardom_integration,0.1259000000000007,2784,D:\projects\ardom-1
tests,0.0,7,D:\projects\ardom-1
wxpython-test-image,0.0,1,D:\projects\ardom-1
בדיקה,0.0,1,D:\projects\ardom-1
